type,trade_id,product_id,time,side,price,last_size,sequence,best_bid,best_ask,high_24h,low_24h,volume_24h,volume_30d,open_24h
ticker,44878393,BTC-USD,2018-06-15T20:34:09.671000Z,buy,6484.52000000,0.80000000,6096094900,6484.51,6484.52,6694.56000000,6445.00000000,7318.6866757,239306.07162237,6647.94000000
ticker,44878399,BTC-USD,2018-06-15T20:34:09.672000Z,buy,6484.52000000,1.54259000,6096094912,6484.51,6484.9,6694.56000000,6445.00000000,7320.2292657,239307.61421237,6647.94000000
ticker,44878401,BTC-USD,2018-06-15T20:34:09.672000Z,buy,6484.95000000,0.46635126,6096094916,6484.51,6484.95,6694.56000000,6445.00000000,7320.69561696,239308.08056363,6647.94000000
ticker,44878405,BTC-USD,2018-06-15T20:34:18.685000Z,sell,6485.00000000,0.01000000,6096096062,6485,6485.01,6694.56000000,6445.00000000,7314.86077387,239303.78062002,6655.64000000
ticker,44878411,BTC-USD,2018-06-15T20:34:18.685000Z,sell,6483.99000000,0.62090000,6096096074,6483.99,6485.01,6694.56000000,6445.00000000,7315.48167387,239304.40152002,6655.64000000
ticker,44878412,BTC-USD,2018-06-15T20:34:19.054000Z,sell,6483.99000000,0.00143000,6096096254,6483.1,6484,6694.56000000,6445.00000000,7315.48310387,239304.40295002,6655.64000000
ticker,44878414,BTC-USD,2018-06-15T20:34:19.247000Z,sell,6483.10000000,0.00200000,6096096352,6483.1,6483.11,6694.56000000,6445.00000000,7315.48510387,239304.40495002,6655.64000000
ticker,44878416,BTC-USD,2018-06-15T20:34:19.247000Z,sell,6483.10000000,0.00200000,6096096356,6483.1,6483.11,6694.56000000,6445.00000000,7315.48710387,239304.40695002,6655.64000000
ticker,44878418,BTC-USD,2018-06-15T20:34:19.247000Z,sell,6483.10000000,0.00149000,6096096361,6481.44,6483.01,6694.56000000,6445.00000000,7315.48859387,239304.40844002,6655.64000000
ticker,44878419,BTC-USD,2018-06-15T20:34:22.300000Z,buy,6480.01000000,0.00933600,6096097156,6480,6480.01,6694.56000000,6445.00000000,7315.49792987,239304.41777602,6655.64000000
ticker,44878420,BTC-USD,2018-06-15T20:34:23.269000Z,sell,6480.00000000,0.26337710,6096097250,6480,6480.01,6694.56000000,6445.00000000,7315.76130697,239304.68115312,6655.64000000
ticker,44878421,BTC-USD,2018-06-15T20:34:23.830000Z,sell,6480.00000000,0.72572618,6096097331,6480,6480.01,6694.56000000,6445.00000000,7316.48703315,239305.4068793,6655.64000000
ticker,44878422,BTC-USD,2018-06-15T20:34:23.830000Z,sell,6480.00000000,0.20000000,6096097333,6480,6480.01,6694.56000000,6445.00000000,7316.68703315,239305.6068793,6655.64000000
ticker,44878423,BTC-USD,2018-06-15T20:34:23.830000Z,sell,6480.00000000,0.00027382,6096097335,6480,6480.01,6694.56000000,6445.00000000,7316.68730697,239305.60715312,6655.64000000
ticker,44878424,BTC-USD,2018-06-15T20:34:24.098000Z,sell,6480.00000000,0.00162618,6096097403,6479.04,6480.01,6694.56000000,6445.00000000,7316.68893315,239305.6087793,6655.64000000
ticker,44878425,BTC-USD,2018-06-15T20:34:24.098000Z,sell,6479.04000000,0.07237382,6096097405,6479.04,6480.01,6694.56000000,6445.00000000,7316.76130697,239305.68115312,6655.64000000
ticker,44878426,BTC-USD,2018-06-15T20:34:24.186000Z,sell,6479.04000000,0.00103000,6096097461,6479.04,6479.05,6694.56000000,6445.00000000,7316.76233697,239305.68218312,6655.64000000
ticker,44878427,BTC-USD,2018-06-15T20:34:24.210000Z,sell,6479.04000000,0.00268000,6096097472,6479.04,6479.05,6694.56000000,6445.00000000,7316.76501697,239305.68486312,6655.64000000
ticker,44878429,BTC-USD,2018-06-15T20:34:26.908000Z,sell,6479.04000000,0.00125000,6096097948,6478.05,6478.7,6694.56000000,6445.00000000,7316.76626697,239305.68611312,6655.64000000
ticker,44878442,BTC-USD,2018-06-15T20:34:26.955000Z,sell,6478.05000000,0.00200000,6096098013,6475.99,6477.18,6694.56000000,6445.00000000,7316.76826697,239305.68811312,6655.64000000
ticker,44878443,BTC-USD,2018-06-15T20:34:27.043000Z,sell,6475.99000000,0.00200230,6096098106,6475.4,6475.77,6694.56000000,6445.00000000,7316.77026927,239305.69011542,6655.64000000
ticker,44878445,BTC-USD,2018-06-15T20:34:27.296000Z,sell,6475.00000000,0.03000000,6096098303,6469.19,6474.35,6694.56000000,6445.00000000,7316.80026927,239305.72011542,6655.64000000
ticker,44878446,BTC-USD,2018-06-15T20:34:30.377000Z,sell,6469.19000000,0.14680000,6096099267,6469.19,6469.2,6694.56000000,6445.00000000,7316.94706927,239305.86691542,6655.64000000
ticker,44878447,BTC-USD,2018-06-15T20:34:37.151000Z,buy,6467.01000000,0.04393604,6096100045,6467,6467.01,6694.56000000,6445.00000000,7316.99100531,239305.91085146,6655.64000000
ticker,44878448,BTC-USD,2018-06-15T20:34:38.536000Z,buy,6467.01000000,0.46250538,6096100130,6467,6467.01,6694.56000000,6445.00000000,7317.45351069,239306.37335684,6655.64000000
ticker,44878449,BTC-USD,2018-06-15T20:34:41.983000Z,buy,6467.01000000,0.29355858,6096100449,6467,6467.01,6694.56000000,6445.00000000,7317.74706927,239306.66691542,6655.64000000
ticker,44878450,BTC-USD,2018-06-15T20:34:41.983000Z,buy,6467.01000000,0.22354142,6096100451,6467,6467.01,6694.56000000,6445.00000000,7317.97061069,239306.89045684,6655.64000000
ticker,44878451,BTC-USD,2018-06-15T20:34:46.071000Z,buy,6467.01000000,0.56712258,6096100753,6467,6467.01,6694.56000000,6445.00000000,7318.53773327,239307.45757942,6655.64000000
ticker,44878452,BTC-USD,2018-06-15T20:34:46.071000Z,buy,6467.01000000,0.14515584,6096100755,6467,6467.01,6694.56000000,6445.00000000,7318.68288911,239307.60273526,6655.64000000
ticker,44878461,BTC-USD,2018-06-15T20:34:46.780000Z,buy,6467.01000000,0.99617760,6096100982,6467.69,6469.19,6694.56000000,6445.00000000,7319.67906671,239308.59891286,6655.64000000
ticker,44878465,BTC-USD,2018-06-15T20:34:46.998000Z,buy,6470.10000000,0.72981000,6096101095,6469.54,6469.71,6694.56000000,6445.00000000,7320.40887671,239309.32872286,6655.64000000
ticker,44878466,BTC-USD,2018-06-15T20:34:47.388000Z,buy,6471.81000000,0.03200000,6096101518,6471.75,6474,6694.56000000,6445.00000000,7320.44087671,239309.36072286,6655.64000000
ticker,44878467,BTC-USD,2018-06-15T20:34:51.844000Z,buy,6474.34000000,0.80744939,6096102804,6474.33,6474.34,6694.56000000,6445.00000000,7321.2483261,239310.16817225,6655.64000000
ticker,44878468,BTC-USD,2018-06-15T20:34:51.844000Z,buy,6474.34000000,0.00055061,6096102806,6474.33,6474.34,6694.56000000,6445.00000000,7321.24887671,239310.16872286,6655.64000000
ticker,44878469,BTC-USD,2018-06-15T20:34:52.225000Z,buy,6474.34000000,0.00089939,6096102917,6474.33,6475.2,6694.56000000,6445.00000000,7321.2497761,239310.16962225,6655.64000000
ticker,44878470,BTC-USD,2018-06-15T20:34:52.447000Z,buy,6475.20000000,0.19200000,6096103005,6475.19,6475.2,6694.56000000,6445.00000000,7321.4417761,239310.36162225,6655.64000000
ticker,44878471,BTC-USD,2018-06-15T20:34:53.123000Z,buy,6480.00000000,0.12730000,6096103304,6479.99,6480,6694.56000000,6445.00000000,7321.5690761,239310.48892225,6655.64000000
